log,log_name,resolution,config,days,status,completed,completed_markers,hit_time_limit,mpi_abort,gpu_mapping_markers,experiment,output,mpp_tmin_s,mpp_tmax_s,mpp_tavg_s,mpp_tstd_s,runtime_per_day_s,fv_backend,fv_calls,fv_allocation_s,fv_h2d_s,fv_kernel_s,fv_sync_s,fv_d2h_s,fv_free_s,fv_total_s,fv_fraction_of_mpp,outlier_note
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T85L25_fortran_16cpu_30day.log,matrix_T85L25_fortran_16cpu_30day.log,T85L25,fortran_16cpu,30,complete,True,30,False,False,0,held_suarez_fortran_16cpu_T85L25_30day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fortran_16cpu_T85L25_30day/run0001/atmos_monthly.nc,207.17279,207.172792,207.172791,1e-06,6.9057597333333325,,,,,,,,,,,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T85L25_fv_cuda_a_grid_1gpu_30day.log,matrix_T85L25_fv_cuda_a_grid_1gpu_30day.log,T85L25,fv_cuda_a_grid_1gpu,30,complete,True,30,False,False,16,held_suarez_fv_cuda_a_grid_1gpu_T85L25_30day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_1gpu_T85L25_30day/run0001/atmos_monthly.nc,264.731348,264.731349,264.731349,0.0,8.824378300000001,cuda_resident,17280,0.001352387,3.228189824,34.065103619,34.453459711,0.252679383,0.0,40.183270039,0.1517888613901937,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T85L25_fv_cuda_a_grid_4gpu_30day.log,matrix_T85L25_fv_cuda_a_grid_4gpu_30day.log,T85L25,fv_cuda_a_grid_4gpu,30,complete,True,30,False,False,16,held_suarez_fv_cuda_a_grid_4gpu_T85L25_30day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_4gpu_T85L25_30day/run0001/atmos_monthly.nc,287.122293,287.122577,287.122432,8e-05,9.570752566666666,cuda_resident,17280,0.001095871,1.065119857,4.606645409,4.474669473,0.204383916,0.0,6.697644218,0.023326776626137625,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T85L25_fortran_16cpu_60day.log,matrix_T85L25_fortran_16cpu_60day.log,T85L25,fortran_16cpu,60,complete,True,60,False,False,0,held_suarez_fortran_16cpu_T85L25_60day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fortran_16cpu_T85L25_60day/run0001/atmos_monthly.nc,410.925256,410.925257,410.925257,0.0,6.848754283333333,,,,,,,,,,,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T85L25_fv_cuda_a_grid_1gpu_60day.log,matrix_T85L25_fv_cuda_a_grid_1gpu_60day.log,T85L25,fv_cuda_a_grid_1gpu,60,complete,True,60,False,False,16,held_suarez_fv_cuda_a_grid_1gpu_T85L25_60day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_1gpu_T85L25_60day/run0001/atmos_monthly.nc,525.309154,525.309155,525.309154,1e-06,8.755152583333334,cuda_resident,34560,0.004699819,6.491441705,58.161752077,58.763851354,0.519325974,0.0,68.282006895,0.1299844220209716,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T85L25_fv_cuda_a_grid_4gpu_60day.log,matrix_T85L25_fv_cuda_a_grid_4gpu_60day.log,T85L25,fv_cuda_a_grid_4gpu,60,complete,True,60,False,False,16,held_suarez_fv_cuda_a_grid_4gpu_T85L25_60day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_4gpu_T85L25_60day/run0001/atmos_monthly.nc,611.813632,611.813839,611.813715,6.7e-05,10.196897316666668,cuda_resident,34560,0.000322783,2.141037001,9.253582849,8.982728643,0.394242305,0.0,12.649885643,0.020676037115597182,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T85L25_fortran_16cpu_90day.log,matrix_T85L25_fortran_16cpu_90day.log,T85L25,fortran_16cpu,90,complete,True,90,False,False,0,held_suarez_fortran_16cpu_T85L25_90day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fortran_16cpu_T85L25_90day/run0001/atmos_monthly.nc,619.363958,619.363959,619.363959,0.0,6.881821766666667,,,,,,,,,,,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T85L25_fv_cuda_a_grid_1gpu_90day.log,matrix_T85L25_fv_cuda_a_grid_1gpu_90day.log,T85L25,fv_cuda_a_grid_1gpu,90,complete,True,90,False,False,16,held_suarez_fv_cuda_a_grid_1gpu_T85L25_90day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_1gpu_T85L25_90day/run0001/atmos_monthly.nc,789.8724,789.872403,789.872402,1e-06,8.776360033333333,cuda_resident,51840,0.002744297,10.183941627,85.603727358,86.174913615,0.739012372,0.0,100.078593648,0.12670222844587722,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T85L25_fv_cuda_a_grid_4gpu_90day.log,matrix_T85L25_fv_cuda_a_grid_4gpu_90day.log,T85L25,fv_cuda_a_grid_4gpu,90,complete,True,90,False,False,16,held_suarez_fv_cuda_a_grid_4gpu_T85L25_90day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_4gpu_T85L25_90day/run0001/atmos_monthly.nc,868.298222,868.299147,868.298709,0.000343,9.6477683,cuda_resident,51840,0.000281504,3.131670707,14.723158206,14.299009687,0.620008118,0.0,19.510408969,0.02246968574875267,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T85L25_fortran_16cpu_120day.log,matrix_T85L25_fortran_16cpu_120day.log,T85L25,fortran_16cpu,120,complete,True,120,False,False,0,held_suarez_fortran_16cpu_T85L25_120day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fortran_16cpu_T85L25_120day/run0001/atmos_monthly.nc,825.386467,825.386468,825.386468,0.0,6.878220566666667,,,,,,,,,,,
